normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
naegleria infection,Naegleria Infection,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5780164680126842,0.5780164680126842,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7528016468012684,0.7528016468012684
nasal polyps,Nasal Polyps,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7030022652814589,0.7030022652814589,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7653002265281459,0.7653002265281459
nephrotic syndrome,Nephrotic Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.622673651734738,0.622673651734738,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7572673651734737,0.7572673651734737
neurofibromatosis,Neurofibromatosis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8423680222488333,0.8423680222488333,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7792368022248833,0.7792368022248833
neurotoxocariasis,Neurotoxocariasis,1,Kapha,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7008900804455855,0.7008900804455855,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7650890080445585,0.7650890080445585
niemann pick disease,Niemann-Pick Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6404998762351343,0.6404998762351343,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7590499876235134,0.7590499876235134
noonan syndrome,Noonan Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7165757926766014,0.7165757926766014,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7666575792676601,0.7666575792676601
obesity,Obesity,2,"Kapha | Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.06743557494279505,0.7741809508836346,0.7741809508836346,0.9,not yet verified,0.0,not manually reviewed,0.5,0.7004180950883635,0.7004180950883635
opistorchiasis,Opistorchiasis,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5418893803021678,0.5418893803021678,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7491889380302167,0.7491889380302167
osteoarthritis,Osteoarthritis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.2472536569451913,0.2472536569451913,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7197253656945191,0.7197253656945191
osteogenesis imperfecta,Osteogenesis Imperfecta,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7180376037149826,0.7180376037149826,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7668037603714982,0.7668037603714982
osteopetrosis,Osteopetrosis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8046636164101062,0.8046636164101062,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7754663616410106,0.7754663616410106
